No. of pkts,No. of Bytes,Iat,Duration,Label
6,1557,0.219644,29.574673,normal
13,4743,0.19952,36.854524,normal
4,3143,3.19978,14.894201,normal
3,791,0.210465,0.418837,normal
3,873,0.199349,0.396656,normal
7,2624,0.211871,18.478612,normal
9,3492,0.217604,16.367767,normal
5,3821,0.152546,0.626744,normal
6,4190,9.2E-05,0.411932,normal
7,371,5.51994,43.491917,normal
39,40890,1.1E-05,2.611541,normal
6,3747,8.9E-05,1.101919,normal
2,82,0.531207,0.531207,normal
6,3728,0.000101,0.53491,normal
106,136000,0.01293,43.076729,normal
12,13584,0.09671,29.089592,normal
76,73849,0.010115,46.211261,normal
4,4212,5.567927,37.593306,normal
3,1251,0.598653,0.918799,normal
4,3529,1.491283,9.8687,normal
3,3239,31.386756,33.075117,normal
3,1372,0.02418,0.031621,normal
9,3827,0.529696,35.294529,normal
13,6060,0.307038,14.240159,normal
2,540,6.922975,6.922975,normal
2,1316,0.734003,0.734003,normal
4,1227,0.000565,0.338411,normal
5,2384,1.520036,9.239697,normal
2,382,0.16466,0.16466,normal
6,1054,0.519948,2.658945,normal
4,1160,0.86998,2.582171,normal
9,1302,0.203916,1.092301,normal
6,1019,0.008925,43.039259,normal
2,315,0.224408,0.224408,normal
2,117,4.683896,4.683896,normal
7,1558,0.195026,0.627814,normal
3,610,0.23596,0.429713,normal
10,3066,0.502842,24.779978,normal
4,764,0.024381,0.401367,normal
6,1873,0.185776,29.29049,normal
35,6727,0.174299,39.796157,normal
4,1596,0.163608,0.662964,normal
4,2096,8.253499,27.971742,normal
3,884,0.240517,0.249924,normal
6,2076,0.349247,35.374819,normal
3,841,0.411126,0.739737,normal
5,1539,2.229143,5.868811,normal
5,1790,0.492768,21.059111,normal
3,854,0.226188,0.236958,normal
2,1063,6.459697,6.459697,normal
3,1068,0.257634,0.502773,normal
4,1446,0.311355,10.082123,normal
3,887,1.590271,3.029984,normal
7,4105,6.968227,35.14035,normal
6,2265,1.0777,8.14488,normal
2,652,0.249413,0.249413,normal
2,559,1E-06,1E-06,normal
3,843,0.673809,0.70131,normal
2,1017,1.002065,1.002065,normal
15,5167,0.550128,36.104534,normal
3,852,0.899414,0.899447,normal
3,853,0.520522,0.530596,normal
4,2324,2.329907,18.737299,normal
5,2787,4.679135,22.559481,normal
14,5913,0.61422,34.946702,normal
2,575,0.009964,0.009964,normal
5,2933,4.276842,12.099038,normal
2,273,0.504101,0.504101,normal
5,2037,0.624127,6.819746,normal
3,1620,37.039667,45.799145,normal
